"","id","sexo","edad","edad_r","hab","prov","ccaa","edu","cs","p1","p2","p3","p4_1","p4_2","p4_3","p4_4","p5","p6","p7","hab_r","clase_social_r","situacion_laboral_r","educacion_r","ponde"
"1829","1829","Hombre",40,"35-44","100.001 - 500.000","Bizkaia","País Vasco","Tercer grado (Doctorado)","A2","9","Prefiero no contestar","Prefiero no contestar","No lo sé","7","8","No le votaría nunca 0","Prefiero no contestar","5","8","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",0.984892
"1830","1830","Mujer",31,"25-34","100.001 - 500.000","Asturias","Asturias, Principado de","Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 año","B","8","No lo sé","No lo sé","7","7","2","5","PP (Partido Popular)","6","8","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, primer ciclo",0.650117
"1831","1831","Hombre",45,"45-54","100.001 - 500.000","Burgos","Castilla y León","Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 año","B","4","PP (Partido Popular)","PP (Partido Popular)","4","6","No le votaría nunca 0","6","PP (Partido Popular)","6","7","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, primer ciclo",0.634119
"1832","1832","Hombre",22,"18-24","100.001 - 500.000","Tarragona","Cataluña","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","E1","1","Ciudadanos","CUP","1","2","No lo sé","9","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En","9","1","Más de 10.000","Media baja / Baja","Estudiante","Segundo grado, segundo ciclo",0.86205
"1833","1833","Hombre",45,"45-54","500.000+","Madrid","Madrid, Comunidad de","Tercer Grado (Máster)","A2","9","PP (Partido Popular)","Prefiero no contestar","No le votaría nunca 0","9","No le votaría nunca 0","No le votaría nunca 0","PP (Partido Popular)","6","5","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",0.683814
"1834","1834","Mujer",22,"18-24","100.001 - 500.000","Tarragona","Cataluña","Segundo Grado - 1º Ciclo (Graduado escolar, o EGB 2ª etapa,","E1","4","PP (Partido Popular)","PP (Partido Popular)","3","7","4","No le votaría nunca 0","PP (Partido Popular)","4","2","Más de 10.000","Media baja / Baja","Trabaja","Segundo grado, primer ciclo y menos",0.855895
"1835","1835","Mujer",19,"18-24","500.000+","Sevilla","Andalucía","Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 año","A1","Con toda seguridad, iría a votar 10","Prefiero no contestar","Prefiero no contestar","No lo sé","No lo sé","No lo sé","No lo sé","No tenía edad para votar","No lo sé","No lo sé","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, primer ciclo",1.105539
"1836","1836","Mujer",33,"25-34","100.001 - 500.000","Santa Cruz de Tenerife","Canarias","Tercer grado (Doctorado)","A1","Con toda seguridad, iría a votar 10","Vox","PSOE (Partido Socialista Obrero Español)","Le votaría siempre 10","9","5","Le votaría siempre 10","Vox","9","8","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",1.161397
"1837","1837","Hombre",35,"35-44","500.000+","Barcelona","Cataluña","Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 año","A1","8","PSOE (Partido Socialista Obrero Español)","PSOE (Partido Socialista Obrero Español)","7","3","No le votaría nunca 0","3","PSOE (Partido Socialista Obrero Español)","5","5","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, primer ciclo",1.163748
"1838","1838","Mujer",54,"45-54","500.000+","Madrid","Madrid, Comunidad de","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","B","1","No lo sé","Ninguno","No lo sé","No lo sé","No lo sé","No lo sé","Prefiero no contestar","No lo sé","5","Más de 10.000","Alta / Media Alta","Trabaja","Segundo grado, segundo ciclo",0.624784
"1839","1839","Mujer",50,"45-54","20.001 - 50.000","Valencia/València","Comunitat Valenciana","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","D","1","No lo sé","Ninguno","1","1","1","1","No voté","No lo sé","No lo sé","Más de 10.000","Media baja / Baja","Trabaja","Segundo grado, segundo ciclo",0.863042
"1840","1840","Mujer",32,"25-34","100.001 - 500.000","Murcia","Murcia, Región de","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","C","No lo sé","No lo sé","Ninguno","No lo sé","No lo sé","No le votaría nunca 0","No lo sé","Voté en blanco","No lo sé","5","Más de 10.000","Media","Parado","Segundo grado, segundo ciclo",1.085434
"1841","1841","Mujer",23,"18-24","20.001 - 50.000","Barcelona","Cataluña","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","B","Con toda seguridad, iría a votar 10","PSOE (Partido Socialista Obrero Español)","PSOE (Partido Socialista Obrero Español)","Le votaría siempre 10","No le votaría nunca 0","7","No le votaría nunca 0","PSOE (Partido Socialista Obrero Español)","3","3","Más de 10.000","Alta / Media Alta","Trabaja","Segundo grado, segundo ciclo",0.625738
"1842","1842","Mujer",28,"25-34","< 10.000","Toledo","Castilla - La Mancha","Tercer Grado (Máster)","C","Con toda seguridad, iría a votar 10","PP (Partido Popular)","PP (Partido Popular)","3","9","No le votaría nunca 0","4","Ciudadanos","7","6","Menos de 10.000","Media","Trabaja","Tercer grado, segundo ciclo y más",0.977032
"1843","1843","Hombre",52,"45-54","100.001 - 500.000","Asturias","Asturias, Principado de","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","E1","9","Ciudadanos","Ciudadanos","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","Ciudadanos","6","6","Más de 10.000","Media baja / Baja","Parado","Segundo grado, segundo ciclo",0.875965
"1844","1844","Hombre",44,"35-44","< 10.000","Cáceres","Extremadura","Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 año","C","7","PSOE (Partido Socialista Obrero Español)","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","7","No le votaría nunca 0","7","No le votaría nunca 0","No voté","2","5","Menos de 10.000","Media","Trabaja","Tercer grado, primer ciclo",1.411291
"1845","1845","Mujer",22,"18-24","< 10.000","Palencia","Castilla y León","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","A2","Con toda seguridad, iría a votar 10","Vox","Vox","No le votaría nunca 0","5","No le votaría nunca 0","Le votaría siempre 10","Vox","8","9","Menos de 10.000","Alta / Media Alta","Trabaja","Segundo grado, segundo ciclo",0.784005
"1846","1846","Mujer",26,"25-34","100.001 - 500.000","Pontevedra","Galicia","Segundo Grado - 1º Ciclo (Graduado escolar, o EGB 2ª etapa,","C","Con toda seguridad, iría a votar 10","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","5","No le votaría nunca 0","Le votaría siempre 10","No le votaría nunca 0","PSOE (Partido Socialista Obrero Español)","5","No lo sé","Más de 10.000","Media","Parado","Segundo grado, primer ciclo y menos",0.839072
"1847","1847","Hombre",36,"35-44","100.001 - 500.000","Murcia","Murcia, Región de","Segundo Grado - 1º Ciclo (Graduado escolar, o EGB 2ª etapa,","A2","9","PSOE (Partido Socialista Obrero Español)","PSOE (Partido Socialista Obrero Español)","9","6","2","No le votaría nunca 0","PSOE (Partido Socialista Obrero Español)","8","6","Más de 10.000","Alta / Media Alta","Trabaja","Segundo grado, primer ciclo y menos",0.906402
"1848","1848","Mujer",35,"35-44","20.001 - 50.000","Huelva","Andalucía","Segundo Grado - 1º Ciclo (Graduado escolar, o EGB 2ª etapa,","C","Con toda seguridad, iría a votar 10","PSOE (Partido Socialista Obrero Español)","PSOE (Partido Socialista Obrero Español)","Le votaría siempre 10","No le votaría nunca 0","5","5","PSOE (Partido Socialista Obrero Español)","Extrema derecha 10","Máximo centralismo 10","Más de 10.000","Media","Trabaja","Segundo grado, primer ciclo y menos",1.035582
"1849","1849","Hombre",34,"25-34","10.001 - 20.000","Murcia","Murcia, Región de","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","B","Con toda seguridad, iría a votar 10","No lo sé","No lo sé","No lo sé","No lo sé","No lo sé","No lo sé","No lo sé","No lo sé","No lo sé","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",0.831711
"1850","1850","Mujer",34,"25-34","< 10.000","Toledo","Castilla - La Mancha","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","C","Con toda seguridad, iría a votar 10","PSOE (Partido Socialista Obrero Español)","Ninguno","9","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","PSOE (Partido Socialista Obrero Español)","9","9","Menos de 10.000","Media","Trabaja","Segundo grado, segundo ciclo",0.977032
"1851","1851","Hombre",24,"18-24","10.001 - 20.000","Córdoba","Andalucía","Tercer Grado (Máster)","A2","9","Vox","Vox","3","8","No le votaría nunca 0","9","Vox","9","7","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",0.700121
"1852","1852","Hombre",18,"18-24","100.001 - 500.000","Murcia","Murcia, Región de","Segundo Grado - 1º Ciclo (Graduado escolar, o EGB 2ª etapa,","E1","1","No votaré","No lo sé","No lo sé","No lo sé","2","No le votaría nunca 0","No tenía edad para votar","No lo sé","No lo sé","Más de 10.000","Media baja / Baja","Estudiante","Segundo grado, primer ciclo y menos",1.044067
"1853","1853","Mujer",43,"35-44","< 10.000","Toledo","Castilla - La Mancha","Segundo Grado - 1º Ciclo (Graduado escolar, o EGB 2ª etapa,","A2","Con toda seguridad, iría a votar 10","Vox","Vox","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","Le votaría siempre 10","Vox","6","9","Menos de 10.000","Alta / Media Alta","Trabaja","Segundo grado, primer ciclo y menos",0.810055
"1854","1854","Hombre",46,"45-54","10.001 - 20.000","Cantabria","Cantabria","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","B","Con toda seguridad, iría a votar 10","Otro","Otro","Le votaría siempre 10","1","1","1","PSOE (Partido Socialista Obrero Español)","4","5","Más de 10.000","Alta / Media Alta","Trabaja","Segundo grado, segundo ciclo",0.509775
"1855","1855","Hombre",28,"25-34","10.001 - 20.000","Ciudad Real","Castilla - La Mancha","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","E1","8","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","3","3","9","No le votaría nunca 0","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En","Extrema izquierda 0","7","Más de 10.000","Media baja / Baja","Trabaja","Segundo grado, segundo ciclo",0.870384
"1856","1856","Hombre",54,"45-54","500.000+","Sevilla","Andalucía","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","C","2","No votaré","Ninguno","4","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","Voté nulo","3","5","Más de 10.000","Media","Trabaja","Tercer grado, segundo ciclo y más",0.941322
"1857","1857","Mujer",23,"18-24","20.001 - 50.000","Cádiz","Andalucía","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","E2","Con toda seguridad, iría a votar 10","PSOE (Partido Socialista Obrero Español)","PSOE (Partido Socialista Obrero Español)","8","2","No le votaría nunca 0","No le votaría nunca 0","PSOE (Partido Socialista Obrero Español)","5","5","Más de 10.000","Media baja / Baja","Estudiante","Tercer grado, segundo ciclo y más",1.616045
"1858","1858","Hombre",22,"18-24","100.001 - 500.000","Lleida","Cataluña","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","E1","No lo sé","Vox","Otro","No lo sé","No lo sé","No lo sé","6","Vox","5","5","Más de 10.000","Media baja / Baja","Estudiante","Segundo grado, segundo ciclo",0.86205
"1859","1859","Mujer",29,"25-34","500.000+","Barcelona","Cataluña","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","A2","Con toda seguridad, iría a votar 10","PSOE (Partido Socialista Obrero Español)","EAJ - PNV","Le votaría siempre 10","6","6","7","Vox","7","5","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",0.772772
"1860","1860","Mujer",42,"35-44","100.001 - 500.000","Valladolid","Castilla y León","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","C","No lo sé","No votaré","Ninguno","No lo sé","No lo sé","No lo sé","No le votaría nunca 0","No voté","No lo sé","No lo sé","Más de 10.000","Media","Parado","Segundo grado, segundo ciclo",0.861226
"1861","1861","Mujer",44,"35-44","100.001 - 500.000","Burgos","Castilla y León","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","A2","8","PSOE (Partido Socialista Obrero Español)","PSOE (Partido Socialista Obrero Español)","9","2","4","3","PSOE (Partido Socialista Obrero Español)","8","7","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",0.728197
"1862","1862","Mujer",40,"35-44","< 10.000","Tarragona","Cataluña","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","C","8","ERC - Sobiranistes","ERC - Sobiranistes","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","ERC - Sobiranistes","Extrema izquierda 0","Máxima descentralización 0","Menos de 10.000","Media","Trabaja","Tercer grado, segundo ciclo y más",1.097619
"1863","1863","Hombre",41,"35-44","500.000+","Valencia/València","Comunitat Valenciana","Tercer Grado (Máster)","C","Con toda seguridad, iría a votar 10","PP (Partido Popular)","PP (Partido Popular)","No le votaría nunca 0","Le votaría siempre 10","No le votaría nunca 0","7","PP (Partido Popular)","9","8","Más de 10.000","Media","Trabaja","Tercer grado, segundo ciclo y más",0.800135
"1864","1864","Mujer",40,"35-44","10.001 - 20.000","Valencia/València","Comunitat Valenciana","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","E2","5","No lo sé","No lo sé","5","6","7","7","No voté","4","6","Más de 10.000","Media baja / Baja","Parado","Tercer grado, segundo ciclo y más",1.37889
"1865","1865","Mujer",24,"18-24","< 10.000","Córdoba","Andalucía","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","E1","Con toda seguridad, NO iría a votar 0","No votaré","Ninguno","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","Voté nulo","No lo sé","No lo sé","Menos de 10.000","Media baja / Baja","Trabaja","Segundo grado, segundo ciclo",1.186637
"1866","1866","Mujer",25,"25-34","100.001 - 500.000","Madrid","Madrid, Comunidad de","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","B","Con toda seguridad, iría a votar 10","PSOE (Partido Socialista Obrero Español)","PSOE (Partido Socialista Obrero Español)","Le votaría siempre 10","No le votaría nunca 0","Le votaría siempre 10","No le votaría nunca 0","PSOE (Partido Socialista Obrero Español)","Extrema izquierda 0","3","Más de 10.000","Alta / Media Alta","Trabaja","Segundo grado, segundo ciclo",0.665025
"1867","1867","Mujer",43,"35-44","20.001 - 50.000","Castellón/Castelló","Comunitat Valenciana","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","A2","7","PSOE (Partido Socialista Obrero Español)","PSOE (Partido Socialista Obrero Español)","8","4","8","1","PSOE (Partido Socialista Obrero Español)","2","4","Más de 10.000","Alta / Media Alta","Trabaja","Segundo grado, segundo ciclo",0.699273
"1868","1868","Mujer",42,"35-44","10.001 - 20.000","Pontevedra","Galicia","Segundo Grado - 1º Ciclo (Graduado escolar, o EGB 2ª etapa,","E1","Con toda seguridad, iría a votar 10","PSOE (Partido Socialista Obrero Español)","PSOE (Partido Socialista Obrero Español)","Le votaría siempre 10","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","PSOE (Partido Socialista Obrero Español)","7","7","Más de 10.000","Media baja / Baja","Trabajo del hogar no remunerado","Segundo grado, primer ciclo y menos",0.908936
"1869","1869","Mujer",29,"25-34","500.000+","Madrid","Madrid, Comunidad de","Segundo Grado - 1º Ciclo (Graduado escolar, o EGB 2ª etapa,","E1","Con toda seguridad, iría a votar 10","PP (Partido Popular)","PP (Partido Popular)","No le votaría nunca 0","Le votaría siempre 10","No le votaría nunca 0","6","PP (Partido Popular)","7","8","Más de 10.000","Media baja / Baja","Trabaja","Segundo grado, primer ciclo y menos",0.984813
"1870","1870","Mujer",30,"25-34","50.001 - 100.000","Palmas, Las","Canarias","Segundo Grado - 1º Ciclo (Graduado escolar, o EGB 2ª etapa,","E1","6","PP (Partido Popular)","No lo sé","5","5","5","5","PP (Partido Popular)","5","5","Más de 10.000","Media baja / Baja","Trabaja","Segundo grado, primer ciclo y menos",1.160182
"1871","1871","Mujer",22,"18-24","500.000+","Málaga","Andalucía","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","A1","9","PSOE (Partido Socialista Obrero Español)","PSOE (Partido Socialista Obrero Español)","8","6","2","No le votaría nunca 0","PSOE (Partido Socialista Obrero Español)","3","5","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",1.105539
"1872","1872","Hombre",28,"25-34","50.001 - 100.000","Málaga","Andalucía","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","E1","Con toda seguridad, iría a votar 10","PP (Partido Popular)","PP (Partido Popular)","9","8","4","3","PP (Partido Popular)","8","8","Más de 10.000","Media baja / Baja","Trabaja","Segundo grado, segundo ciclo",1.290464
"1873","1873","Mujer",41,"35-44","500.000+","Barcelona","Cataluña","Segundo Grado - 1º Ciclo (Graduado escolar, o EGB 2ª etapa,","C","Con toda seguridad, NO iría a votar 0","No votaré","Ninguno","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","No voté","No lo sé","No lo sé","Más de 10.000","Media","Pensionista","Segundo grado, primer ciclo y menos",0.896176
"1874","1874","Hombre",22,"18-24","10.001 - 20.000","Córdoba","Andalucía","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","E2","4","Vox","Vox","No le votaría nunca 0","5","No le votaría nunca 0","9","Vox","7","7","Más de 10.000","Media baja / Baja","Parado","Segundo grado, segundo ciclo",1.499032
"1875","1875","Hombre",48,"45-54","20.001 - 50.000","Alicante/Alacant","Comunitat Valenciana","Primer Grado (Certificado escolar, 1ª etapa de EGB, más o me","E2","Con toda seguridad, NO iría a votar 0","No votaré","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","5","No le votaría nunca 0","Le votaría siempre 10","No le votaría nunca 0","Prefiero no contestar","3","Máxima descentralización 0","Más de 10.000","Media baja / Baja","Parado","Segundo grado, primer ciclo y menos",1.416779
"1876","1876","Mujer",45,"45-54","100.001 - 500.000","Araba/Álava","País Vasco","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","A2","4","PSOE (Partido Socialista Obrero Español)","PSOE (Partido Socialista Obrero Español)","8","7","6","No le votaría nunca 0","PSOE (Partido Socialista Obrero Español)","4","6","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",0.918718
"1877","1877","Mujer",65,"65+","50.001 - 100.000","Palmas, Las","Canarias","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","D","Con toda seguridad, iría a votar 10","No lo sé","No lo sé","No lo sé","No lo sé","No lo sé","No lo sé","No lo sé","No lo sé","No lo sé","Más de 10.000","Media baja / Baja","Trabaja","Tercer grado, segundo ciclo y más",1.50204
"1878","1878","Hombre",60,"55-64","500.000+","Barcelona","Cataluña","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","C","Con toda seguridad, iría a votar 10","Prefiero no contestar","Prefiero no contestar","No lo sé","No lo sé","No lo sé","No lo sé","Prefiero no contestar","No lo sé","No lo sé","Más de 10.000","Media","Parado","Segundo grado, segundo ciclo",0.829254
"1879","1879","Mujer",40,"35-44","< 10.000","Cuenca","Castilla - La Mancha","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","C","Con toda seguridad, iría a votar 10","PP (Partido Popular)","PP (Partido Popular)","No le votaría nunca 0","Le votaría siempre 10","No le votaría nunca 0","8","PP (Partido Popular)","Extrema derecha 10","Máximo centralismo 10","Menos de 10.000","Media","Trabaja","Segundo grado, segundo ciclo",0.958038
"1880","1880","Mujer",35,"35-44","50.001 - 100.000","Asturias","Asturias, Principado de","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","C","Con toda seguridad, iría a votar 10","Ciudadanos","Ciudadanos","1","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","Ciudadanos","6","6","Más de 10.000","Media","Trabaja","Tercer grado, segundo ciclo y más",0.933876
"1881","1881","Hombre",27,"25-34","20.001 - 50.000","Sevilla","Andalucía","Tercer grado (Doctorado)","A2","Con toda seguridad, iría a votar 10","PP (Partido Popular)","Vox","Le votaría siempre 10","Le votaría siempre 10","Le votaría siempre 10","Le votaría siempre 10","CUP","Extrema derecha 10","Máximo centralismo 10","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",0.899403
"1882","1882","Hombre",35,"35-44","500.000+","Madrid","Madrid, Comunidad de","Tercer Grado (Máster)","C","9","PSOE (Partido Socialista Obrero Español)","PSOE (Partido Socialista Obrero Español)","8","5","6","No le votaría nunca 0","PSOE (Partido Socialista Obrero Español)","6","7","Más de 10.000","Media","Trabaja","Tercer grado, segundo ciclo y más",0.860796
"1883","1883","Mujer",35,"35-44","20.001 - 50.000","Balears, Illes","Balears, Illes","Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 año","B","8","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","5","2","8","1","PSOE (Partido Socialista Obrero Español)","4","6","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, primer ciclo",1.365736
"1884","1884","Hombre",40,"35-44","500.000+","Madrid","Madrid, Comunidad de","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","B","9","PP (Partido Popular)","PP (Partido Popular)","4","7","No le votaría nunca 0","No le votaría nunca 0","PP (Partido Popular)","6","5","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",0.669786
"1885","1885","Mujer",43,"35-44","50.001 - 100.000","Valencia/València","Comunitat Valenciana","Tercer grado (Doctorado)","D","9","PP (Partido Popular)","PP (Partido Popular)","No le votaría nunca 0","9","No le votaría nunca 0","No le votaría nunca 0","PP (Partido Popular)","6","8","Más de 10.000","Media baja / Baja","Trabaja","Tercer grado, segundo ciclo y más",0.986303
"1886","1886","Mujer",23,"18-24","100.001 - 500.000","León","Castilla y León","Tercer Grado (Máster)","A1","9","PP (Partido Popular)","Ciudadanos","4","7","2","No le votaría nunca 0","PP (Partido Popular)","7","7","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",0.957129
"1887","1887","Mujer",35,"35-44","< 10.000","Tarragona","Cataluña","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","C","Con toda seguridad, iría a votar 10","PSOE (Partido Socialista Obrero Español)","PSOE (Partido Socialista Obrero Español)","Le votaría siempre 10","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","PSOE (Partido Socialista Obrero Español)","2","5","Menos de 10.000","Media","Trabaja","Segundo grado, segundo ciclo",1.097619
"1888","1888","Hombre",66,"65+","20.001 - 50.000","Girona","Cataluña","Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 año","C","9","Votaré en blanco","Ninguno","5","1","2","1","Voté en blanco","4","4","Más de 10.000","Media","Trabaja","Tercer grado, primer ciclo",1.262057
"1889","1889","Mujer",32,"25-34","< 10.000","Huelva","Andalucía","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","D","Con toda seguridad, iría a votar 10","Votaré nulo","Ninguno","3","3","3","3","Voté nulo","4","5","Menos de 10.000","Media baja / Baja","Trabaja","Segundo grado, segundo ciclo",1.380118
"1890","1890","Hombre",22,"18-24","100.001 - 500.000","Murcia","Murcia, Región de","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","E1","6","PP (Partido Popular)","Ninguno","1","5","5","No le votaría nunca 0","No lo sé","5","6","Más de 10.000","Media baja / Baja","Estudiante","Segundo grado, segundo ciclo",1.044067
"1891","1891","Hombre",45,"45-54","20.001 - 50.000","Tarragona","Cataluña","Tercer Grado (Máster)","A2","Con toda seguridad, iría a votar 10","JxCAT - Junts","JxCAT - Junts","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","JxCAT - Junts","Extrema izquierda 0","Máxima descentralización 0","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",0.74646
"1892","1892","Hombre",40,"35-44","50.001 - 100.000","Asturias","Asturias, Principado de","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","E2","Con toda seguridad, iría a votar 10","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","1","No le votaría nunca 0","9","No le votaría nunca 0","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En","1","5","Más de 10.000","Media baja / Baja","Parado","Segundo grado, segundo ciclo",1.702827
"1893","1893","Hombre",52,"45-54","10.001 - 20.000","Asturias","Asturias, Principado de","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","E1","Con toda seguridad, NO iría a votar 0","No votaré","Ninguno","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","No voté","No lo sé","No lo sé","Más de 10.000","Media baja / Baja","Trabaja","Segundo grado, segundo ciclo",0.856461
"1894","1894","Hombre",32,"25-34","500.000+","Sevilla","Andalucía","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","C","Con toda seguridad, iría a votar 10","PSOE (Partido Socialista Obrero Español)","PSOE (Partido Socialista Obrero Español)","9","No le votaría nunca 0","9","No le votaría nunca 0","PSOE (Partido Socialista Obrero Español)","Extrema izquierda 0","Máximo centralismo 10","Más de 10.000","Media","Trabaja","Segundo grado, segundo ciclo",1.021783
"1895","1895","Mujer",40,"35-44","20.001 - 50.000","Castellón/Castelló","Comunitat Valenciana","Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 año","E1","7","Ciudadanos","Ninguno","7","5","7","3","Voté nulo","7","8","Más de 10.000","Media baja / Baja","Parado","Tercer grado, primer ciclo",0.934446
"1896","1896","Mujer",31,"25-34","100.001 - 500.000","Tarragona","Cataluña","Segundo Grado - 1º Ciclo (Graduado escolar, o EGB 2ª etapa,","E2","7","PSOE (Partido Socialista Obrero Español)","PACMA (Partido Animalista Contra el Maltrato Animal)","8","8","8","2","EH - Bildu (Euskal Herria Bildu)","4","4","Más de 10.000","Media baja / Baja","Parado","Segundo grado, primer ciclo y menos",1.62247
"1897","1897","Mujer",47,"45-54","10.001 - 20.000","Córdoba","Andalucía","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","A1","4","PSOE (Partido Socialista Obrero Español)","PSOE (Partido Socialista Obrero Español)","8","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","PSOE (Partido Socialista Obrero Español)","2","5","Más de 10.000","Alta / Media Alta","Trabaja","Segundo grado, segundo ciclo",1.155285
